ID,Pick Number,Team PF,Team Y/P,Team 1stD,Team Cmp,Team Att,Team Yds.1,Team TD,Team Int,Team NY/A,Team Att.1,Team Yds.2,Team TD.1,Team Y/A,Team 1stD.2,Team Sc%,Team Yds.4,Team Pts,Opp. PF,Opp. Y/P,Opp. TO,Opp. 1stD,Opp. Cmp,Opp. Yds.1,Opp. TD,Opp. Int,Opp. NY/A,Opp. Att.1,Opp. Yds.2,Opp. TD.1,Opp. Y/A,Opp. 1stD.2,Opp. Sc%,Opp. Yds.4,Opp. Pts,Off. Rank PF,Off. Rank Yds,Off. Rank 1stD,Off. Rank Att,Off. Rank Yds.1,Off. Rank TD,Off. Rank Int,Off. Rank NY/A,Off. Rank Att.1,Off. Rank Yds.2,Off. Rank TD.1,Off. Rank Y/A,Off. Rank Sc%,Off. Rank Yds.4,Off. Rank Pts,Def. Rank PF,Def. Rank Yds,Def. Rank TO,Def. Rank 1stD,Def. Rank Yds.1,Def. Rank TD,Def. Rank Int,Def. Rank NY/A,Def. Rank Att.1,Def. Rank Yds.2,Def. Rank TD.1,Def. Rank Y/A,Def. Rank Sc%,Def. Rank Yds.4,Def. Rank Pts
172,14,388.0,5.4,361.0,394.0,595.0,3729.0,27.0,12.0,5.8,399.0,1872.0,12.0,4.7,99.0,37.6,30.9,1.99,373.0,5.3,25.0,309.0,338.0,3557.0,27.0,14.0,6.2,453.0,1937.0,13.0,4.3,99.0,36.7,30.3,1.99,11.0,14.0,4.0,12.0,17.0,12.0,8.0,26.0,22.0,12.0,14.0,2.0,11.0,14.0,11.0,20.0,12.0,14.0,9.0,6.0,20.0,14.0,11.0,26.0,24.0,19.0,21.0,10.0,16.0,23.0
173,15,348.0,5.4,326.0,380.0,574.0,4098.0,31.0,18.0,6.7,398.0,1367.0,6.0,3.4,75.0,33.9,31.3,1.87,348.0,5.5,18.0,307.0,320.0,3427.0,24.0,7.0,6.2,438.0,1986.0,11.0,4.5,98.0,35.8,30.2,1.88,17.0,18.0,15.0,14.0,10.0,8.0,26.0,8.0,23.0,30.0,29.0,31.0,17.0,11.0,15.0,13.0,9.0,27.0,6.0,4.0,12.0,28.0,15.0,19.0,26.0,14.0,29.0,12.0,14.0,19.0
174,16,372.0,5.2,313.0,295.0,485.0,3352.0,22.0,13.0,6.6,551.0,2161.0,12.0,3.9,108.0,33.0,28.2,1.69,307.0,5.2,34.0,329.0,363.0,3890.0,28.0,20.0,5.9,420.0,1681.0,6.0,4.0,89.0,26.6,27.8,1.48,14.0,17.0,18.0,30.0,24.0,17.0,13.0,13.0,1.0,5.0,14.0,23.0,18.0,24.0,19.0,7.0,16.0,1.0,22.0,21.0,22.0,3.0,7.0,13.0,10.0,2.0,10.0,32.0,6.0,3.0
175,17,306.0,5.2,303.0,292.0,487.0,3063.0,20.0,10.0,5.7,470.0,2176.0,10.0,4.6,104.0,30.9,29.4,1.6,340.0,5.2,29.0,308.0,324.0,3531.0,29.0,23.0,6.0,402.0,1612.0,7.0,4.0,83.0,32.0,29.3,1.78,25.0,20.0,22.0,29.0,30.0,22.0,5.0,28.0,9.0,4.0,21.0,4.0,24.0,18.0,22.0,10.0,5.0,4.0,8.0,5.0,25.0,1.0,9.0,10.0,7.0,4.0,11.0,22.0,10.0,15.0
176,18,353.0,5.3,309.0,320.0,493.0,3182.0,18.0,6.0,5.9,420.0,1918.0,18.0,4.6,92.0,35.8,29.4,1.93,281.0,5.2,14.0,310.0,318.0,3252.0,22.0,6.0,5.5,433.0,2036.0,4.0,4.7,108.0,32.6,29.7,1.56,16.0,25.0,21.0,28.0,29.0,27.0,1.0,23.0,16.0,10.0,3.0,5.0,13.0,19.0,14.0,2.0,7.0,30.0,12.0,2.0,6.0,30.0,4.0,18.0,28.0,1.0,30.0,19.0,12.0,6.0
177,19,299.0,5.1,294.0,274.0,502.0,3465.0,12.0,16.0,6.5,477.0,1728.0,17.0,3.6,88.0,28.0,26.8,1.44,337.0,5.2,29.0,348.0,335.0,3592.0,22.0,21.0,5.8,500.0,2265.0,13.0,4.5,126.0,32.3,29.3,1.68,27.0,23.0,24.0,26.0,20.0,32.0,19.0,16.0,6.0,17.0,4.0,28.0,27.0,27.0,28.0,9.0,23.0,4.0,29.0,8.0,6.0,2.0,5.0,31.0,32.0,19.0,28.0,21.0,11.0,11.0
178,20,474.0,5.6,356.0,384.0,621.0,4356.0,27.0,21.0,6.7,474.0,1992.0,16.0,4.2,109.0,36.9,31.1,1.96,400.0,5.4,28.0,338.0,345.0,4238.0,30.0,12.0,6.6,473.0,1771.0,14.0,3.7,88.0,31.1,28.2,1.76,3.0,5.0,7.0,5.0,6.0,12.0,32.0,11.0,7.0,9.0,5.0,15.0,12.0,12.0,12.0,22.0,28.0,6.0,26.0,31.0,28.0,21.0,20.0,28.0,15.0,21.0,5.0,25.0,7.0,14.0
179,21,365.0,5.5,313.0,323.0,503.0,3421.0,20.0,17.0,6.5,492.0,2147.0,19.0,4.4,122.0,34.0,29.1,1.84,344.0,5.4,26.0,337.0,365.0,3888.0,18.0,20.0,6.2,439.0,1861.0,16.0,4.2,105.0,32.6,31.1,1.72,15.0,15.0,18.0,25.0,21.0,22.0,24.0,15.0,5.0,6.0,2.0,12.0,16.0,20.0,16.0,12.0,22.0,10.0,25.0,20.0,3.0,3.0,13.0,21.0,20.0,27.0,18.0,18.0,22.0,12.0
180,22,436.0,6.2,379.0,411.0,612.0,4825.0,33.0,10.0,7.5,423.0,1752.0,10.0,4.1,98.0,41.4,37.5,2.23,368.0,6.0,21.0,314.0,350.0,4049.0,30.0,11.0,7.0,368.0,1605.0,9.0,4.4,88.0,39.7,32.4,2.09,7.0,2.0,2.0,6.0,2.0,6.0,5.0,2.0,15.0,16.0,21.0,16.0,4.0,2.0,6.0,18.0,18.0,23.0,16.0,27.0,28.0,25.0,29.0,3.0,6.0,8.0,25.0,5.0,29.0,25.0
181,23,482.0,6.0,360.0,399.0,607.0,4661.0,40.0,15.0,7.5,443.0,1785.0,15.0,4.0,98.0,39.9,32.6,2.31,354.0,4.7,25.0,311.0,399.0,3607.0,29.0,18.0,5.3,349.0,1276.0,9.0,3.7,60.0,31.3,24.9,1.72,2.0,4.0,6.0,9.0,4.0,2.0,16.0,4.0,12.0,15.0,9.0,20.0,6.0,7.0,4.0,16.0,3.0,14.0,14.0,9.0,25.0,7.0,1.0,1.0,2.0,8.0,4.0,24.0,1.0,13.0
182,24,310.0,5.2,302.0,320.0,568.0,3808.0,21.0,12.0,6.4,397.0,1308.0,6.0,3.3,67.0,30.9,28.3,1.52,299.0,5.8,25.0,300.0,365.0,4152.0,22.0,18.0,6.8,396.0,1739.0,9.0,4.4,77.0,29.8,31.3,1.55,24.0,24.0,23.0,15.0,14.0,20.0,8.0,18.0,24.0,31.0,29.0,32.0,23.0,23.0,27.0,5.0,24.0,14.0,2.0,29.0,6.0,7.0,23.0,8.0,13.0,8.0,26.0,27.0,25.0,5.0
183,25,339.0,5.2,347.0,327.0,545.0,3511.0,23.0,12.0,6.0,473.0,2036.0,10.0,4.3,117.0,34.8,31.0,1.79,374.0,5.4,26.0,309.0,364.0,3645.0,25.0,14.0,6.1,397.0,1792.0,14.0,4.5,91.0,34.1,30.3,1.89,19.0,16.0,9.0,19.0,19.0,15.0,8.0,22.0,8.0,7.0,21.0,13.0,14.0,13.0,17.0,21.0,10.0,10.0,9.0,11.0,15.0,14.0,10.0,9.0,16.0,21.0,27.0,14.0,17.0,21.0
184,26,409.0,5.7,345.0,344.0,554.0,3819.0,27.0,12.0,6.7,448.0,2019.0,16.0,4.5,113.0,39.6,32.0,2.13,302.0,5.2,22.0,311.0,382.0,3979.0,22.0,11.0,6.2,390.0,1412.0,8.0,3.6,75.0,33.3,29.8,1.67,8.0,12.0,10.0,17.0,13.0,12.0,8.0,12.0,11.0,8.0,5.0,7.0,7.0,9.0,8.0,6.0,8.0,22.0,14.0,23.0,6.0,25.0,12.0,5.0,4.0,5.0,3.0,16.0,13.0,9.0
185,27,467.0,6.1,342.0,328.0,476.0,3784.0,37.0,11.0,7.5,508.0,2354.0,16.0,4.6,106.0,43.6,34.1,2.49,352.0,5.8,31.0,315.0,371.0,4031.0,22.0,18.0,6.9,392.0,1650.0,18.0,4.2,86.0,31.3,31.7,1.83,5.0,7.0,11.0,31.0,16.0,4.0,7.0,3.0,3.0,2.0,5.0,3.0,3.0,6.0,2.0,15.0,19.0,2.0,17.0,26.0,6.0,7.0,27.0,6.0,8.0,31.0,17.0,23.0,27.0,17.0
186,28,321.0,5.2,310.0,365.0,604.0,4030.0,22.0,12.0,6.2,396.0,1422.0,11.0,3.6,72.0,32.4,30.4,1.71,282.0,4.9,27.0,310.0,383.0,3706.0,23.0,20.0,5.8,350.0,1109.0,8.0,3.2,59.0,26.9,26.3,1.49,22.0,19.0,20.0,11.0,12.0,17.0,8.0,19.0,25.0,28.0,17.0,29.0,20.0,15.0,18.0,3.0,2.0,8.0,12.0,13.0,11.0,3.0,6.0,2.0,1.0,5.0,1.0,30.0,4.0,4.0
187,29,458.0,5.9,371.0,410.0,661.0,4894.0,42.0,16.0,7.1,415.0,1612.0,9.0,3.9,80.0,39.5,31.6,2.18,369.0,5.4,26.0,309.0,320.0,3669.0,27.0,12.0,6.3,423.0,1814.0,14.0,4.3,103.0,28.1,27.5,1.67,6.0,3.0,3.0,1.0,1.0,1.0,19.0,5.0,17.0,22.0,24.0,25.0,8.0,10.0,7.0,19.0,11.0,10.0,9.0,12.0,20.0,21.0,17.0,16.0,18.0,21.0,23.0,29.0,5.0,10.0
188,30,486.0,6.2,356.0,349.0,536.0,4261.0,38.0,6.0,7.5,435.0,1917.0,14.0,4.4,104.0,46.7,36.5,2.63,348.0,5.3,27.0,339.0,333.0,3623.0,26.0,18.0,6.0,449.0,1919.0,11.0,4.3,116.0,33.1,31.6,1.84,1.0,6.0,7.0,20.0,8.0,3.0,1.0,1.0,14.0,11.0,11.0,10.0,1.0,3.0,1.0,13.0,15.0,8.0,27.0,10.0,17.0,7.0,8.0,23.0,23.0,14.0,20.0,17.0,26.0,18.0
189,31,401.0,6.0,395.0,456.0,659.0,4764.0,33.0,17.0,6.9,406.0,1818.0,16.0,4.5,101.0,39.1,37.7,2.3,424.0,6.0,17.0,345.0,341.0,4019.0,26.0,12.0,6.9,442.0,2125.0,17.0,4.8,111.0,43.3,35.8,2.3,9.0,1.0,1.0,2.0,3.0,6.0,24.0,6.0,19.0,13.0,5.0,9.0,9.0,1.0,5.0,28.0,31.0,28.0,28.0,25.0,17.0,21.0,28.0,22.0,29.0,28.0,31.0,2.0,31.0,31.0
190,32,468.0,5.5,361.0,392.0,609.0,4121.0,34.0,9.0,6.5,438.0,1727.0,13.0,3.9,96.0,45.3,32.3,2.4,313.0,5.3,25.0,329.0,342.0,3837.0,24.0,16.0,6.2,419.0,1669.0,6.0,4.0,88.0,32.4,30.2,1.63,4.0,11.0,4.0,7.0,9.0,5.0,4.0,17.0,13.0,18.0,12.0,22.0,2.0,8.0,3.0,8.0,13.0,14.0,22.0,17.0,12.0,12.0,16.0,12.0,9.0,2.0,9.0,20.0,15.0,8.0
191,1,276.0,5.1,307.0,371.0,633.0,3813.0,19.0,22.0,5.6,414.0,1743.0,7.0,4.2,90.0,25.9,27.6,1.29,428.0,5.2,11.0,282.0,287.0,3123.0,29.0,7.0,6.1,454.0,1958.0,11.0,4.3,88.0,36.1,26.1,1.91,31.0,11.0,20.0,6.0,15.0,25.0,28.0,25.0,22.0,20.0,28.0,15.0,30.0,21.0,31.0,24.0,7.0,32.0,3.0,3.0,21.0,32.0,13.0,24.0,23.0,11.0,22.0,11.0,5.0,22.0
192,2,348.0,5.0,282.0,301.0,506.0,3125.0,22.0,11.0,5.8,426.0,1752.0,10.0,4.1,82.0,31.5,26.5,1.64,364.0,5.4,29.0,337.0,355.0,3874.0,21.0,14.0,6.7,440.0,1646.0,18.0,3.7,87.0,31.0,30.0,1.78,21.0,30.0,26.0,28.0,27.0,20.0,7.0,22.0,17.0,19.0,23.0,18.0,21.0,25.0,21.0,13.0,15.0,10.0,25.0,19.0,7.0,20.0,24.0,16.0,9.0,27.0,3.0,24.0,21.0,16.0
193,3,247.0,4.6,271.0,349.0,592.0,3441.0,16.0,21.0,5.4,378.0,1260.0,7.0,3.3,71.0,23.6,24.0,1.18,449.0,5.6,21.0,353.0,354.0,3962.0,29.0,11.0,6.8,507.0,2108.0,20.0,4.2,121.0,38.1,30.7,2.14,32.0,31.0,31.0,11.0,22.0,30.0,27.0,31.0,28.0,31.0,28.0,31.0,32.0,29.0,32.0,28.0,27.0,24.0,28.0,25.0,21.0,26.0,26.0,32.0,29.0,29.0,19.0,7.0,23.0,25.0
194,4,339.0,4.8,301.0,299.0,522.0,3103.0,16.0,15.0,5.4,546.0,2307.0,15.0,4.2,113.0,29.9,25.2,1.48,388.0,4.9,30.0,308.0,310.0,3271.0,28.0,23.0,5.3,471.0,2063.0,10.0,4.4,98.0,32.2,24.7,1.68,22.0,19.0,22.0,24.0,28.0,30.0,16.0,29.0,1.0,2.0,10.0,14.0,23.0,28.0,25.0,20.0,10.0,6.0,12.0,4.0,20.0,2.0,3.0,28.0,28.0,8.0,23.0,20.0,2.0,12.0
195,5,322.0,5.3,275.0,298.0,519.0,3340.0,17.0,20.0,5.9,437.0,2000.0,16.0,4.6,90.0,27.8,27.4,1.52,453.0,5.7,22.0,330.0,374.0,4092.0,33.0,9.0,7.0,442.0,1727.0,15.0,3.9,100.0,38.6,30.8,2.17,24.0,23.0,30.0,25.0,24.0,29.0,24.0,18.0,16.0,12.0,7.0,6.0,26.0,23.0,23.0,29.0,22.0,21.0,23.0,28.0,30.0,31.0,28.0,18.0,13.0,23.0,11.0,6.0,24.0,27.0
196,6,353.0,5.4,330.0,445.0,659.0,4243.0,26.0,17.0,6.0,321.0,1247.0,11.0,3.9,64.0,34.1,30.7,1.85,443.0,6.1,21.0,326.0,341.0,3897.0,31.0,10.0,7.1,455.0,2173.0,14.0,4.8,102.0,45.1,34.7,2.38,20.0,14.0,9.0,3.0,7.0,11.0,19.0,17.0,32.0,32.0,21.0,24.0,16.0,8.0,17.0,27.0,27.0,24.0,16.0,21.0,29.0,29.0,32.0,26.0,31.0,18.0,31.0,1.0,29.0,32.0
197,7,288.0,4.5,269.0,291.0,514.0,2820.0,22.0,12.0,5.0,420.0,1612.0,6.0,3.8,75.0,27.1,23.4,1.41,389.0,5.5,31.0,324.0,352.0,3806.0,30.0,21.0,6.5,438.0,1762.0,10.0,4.0,95.0,38.0,29.8,1.99,30.0,32.0,32.0,26.0,32.0,20.0,10.0,32.0,21.0,22.0,31.0,25.0,28.0,32.0,27.0,21.0,17.0,3.0,15.0,17.0,27.0,3.0,21.0,15.0,15.0,8.0,16.0,8.0,20.0,24.0
198,8,308.0,5.0,301.0,379.0,681.0,4040.0,26.0,20.0,5.5,348.0,1383.0,4.0,4.0,77.0,26.2,27.8,1.4,406.0,4.8,21.0,328.0,363.0,3538.0,29.0,14.0,5.5,462.0,1781.0,13.0,3.9,103.0,34.0,26.1,1.85,27.0,18.0,22.0,1.0,11.0,11.0,24.0,27.0,30.0,27.0,32.0,23.0,29.0,19.0,28.0,23.0,9.0,24.0,20.0,8.0,21.0,20.0,4.0,27.0,18.0,17.0,8.0,16.0,6.0,20.0
199,9,391.0,5.4,309.0,325.0,546.0,3427.0,18.0,19.0,5.8,423.0,2081.0,23.0,4.9,106.0,34.4,28.3,1.87,480.0,5.6,20.0,368.0,419.0,4595.0,37.0,12.0,6.7,443.0,1767.0,14.0,4.0,101.0,39.6,32.2,2.22,14.0,13.0,19.0,20.0,23.0,27.0,20.0,21.0,18.0,8.0,1.0,2.0,14.0,18.0,14.0,32.0,31.0,27.0,30.0,31.0,32.0,24.0,23.0,19.0,16.0,18.0,13.0,4.0,27.0,29.0
200,10,395.0,5.7,350.0,371.0,634.0,4482.0,29.0,19.0,6.8,445.0,1792.0,15.0,4.0,106.0,32.1,31.8,1.86,376.0,5.6,22.0,290.0,338.0,3950.0,24.0,15.0,6.5,377.0,1596.0,10.0,4.2,62.0,35.7,27.7,1.75,13.0,6.0,7.0,5.0,3.0,8.0,20.0,8.0,14.0,17.0,10.0,22.0,19.0,7.0,15.0,15.0,16.0,21.0,8.0,23.0,13.0,17.0,20.0,4.0,6.0,8.0,20.0,13.0,13.0,15.0
201,11,362.0,5.2,311.0,328.0,533.0,3496.0,22.0,16.0,6.1,462.0,1894.0,16.0,4.1,103.0,34.2,29.1,1.85,381.0,5.3,25.0,329.0,344.0,3612.0,15.0,13.0,6.2,446.0,1795.0,21.0,4.0,108.0,35.8,28.3,1.83,19.0,22.0,18.0,23.0,21.0,20.0,17.0,14.0,10.0,14.0,7.0,19.0,15.0,16.0,16.0,16.0,14.0,18.0,21.0,11.0,1.0,22.0,15.0,22.0,20.0,30.0,17.0,12.0,15.0,19.0
202,12,294.0,5.0,280.0,325.0,567.0,3588.0,18.0,29.0,5.9,381.0,1332.0,11.0,3.5,77.0,25.5,23.9,1.33,383.0,4.9,29.0,327.0,361.0,3573.0,21.0,17.0,5.6,454.0,1743.0,12.0,3.8,101.0,31.0,26.5,1.59,28.0,28.0,27.0,19.0,19.0,27.0,32.0,19.0,27.0,29.0,21.0,30.0,31.0,30.0,30.0,18.0,8.0,10.0,17.0,10.0,7.0,12.0,8.0,24.0,14.0,15.0,6.0,23.0,9.0,8.0
203,13,348.0,5.0,282.0,301.0,506.0,3125.0,22.0,11.0,5.8,426.0,1752.0,10.0,4.1,82.0,31.5,26.5,1.64,364.0,5.4,29.0,337.0,355.0,3874.0,21.0,14.0,6.7,440.0,1646.0,18.0,3.7,87.0,31.0,30.0,1.78,21.0,30.0,26.0,28.0,27.0,20.0,7.0,22.0,17.0,19.0,23.0,18.0,21.0,25.0,21.0,13.0,15.0,10.0,25.0,19.0,7.0,20.0,24.0,16.0,9.0,27.0,3.0,24.0,21.0,16.0
204,14,445.0,6.0,344.0,373.0,579.0,4281.0,32.0,13.0,7.0,404.0,1828.0,13.0,4.5,102.0,39.0,33.5,2.16,478.0,6.2,28.0,353.0,315.0,3730.0,25.0,19.0,6.9,483.0,2583.0,22.0,5.3,147.0,42.7,35.5,2.36,2.0,8.0,8.0,16.0,5.0,5.0,13.0,5.0,24.0,16.0,17.0,7.0,8.0,5.0,5.0,30.0,30.0,13.0,28.0,15.0,14.0,8.0,27.0,30.0,32.0,31.0,32.0,2.0,32.0,31.0
205,15,379.0,5.3,312.0,377.0,586.0,4017.0,28.0,14.0,6.4,394.0,1383.0,9.0,3.5,81.0,35.4,28.6,1.85,370.0,5.2,20.0,303.0,329.0,3546.0,21.0,10.0,5.9,433.0,1849.0,18.0,4.3,106.0,35.3,28.4,1.88,16.0,20.0,17.0,13.0,12.0,9.0,15.0,12.0,25.0,27.0,25.0,29.0,13.0,17.0,18.0,14.0,13.0,27.0,10.0,9.0,7.0,29.0,10.0,13.0,21.0,27.0,21.0,15.0,16.0,21.0
206,16,439.0,5.7,325.0,375.0,586.0,3954.0,33.0,12.0,6.4,336.0,1504.0,12.0,4.5,80.0,39.9,29.7,2.18,432.0,6.1,28.0,388.0,403.0,4589.0,33.0,15.0,7.0,437.0,2056.0,17.0,4.7,122.0,39.7,35.1,2.25,5.0,16.0,13.0,13.0,14.0,3.0,10.0,13.0,31.0,24.0,18.0,8.0,7.0,11.0,4.0,26.0,32.0,13.0,32.0,30.0,30.0,17.0,29.0,14.0,27.0,26.0,30.0,3.0,30.0,30.0
207,17,320.0,4.5,295.0,363.0,619.0,3590.0,19.0,23.0,5.4,423.0,1328.0,7.0,3.1,68.0,30.9,23.7,1.43,352.0,5.2,24.0,284.0,314.0,3681.0,25.0,16.0,6.2,440.0,1687.0,7.0,3.8,79.0,31.4,26.3,1.57,25.0,29.0,24.0,8.0,18.0,25.0,31.0,30.0,18.0,30.0,28.0,32.0,22.0,31.0,26.0,12.0,12.0,19.0,6.0,12.0,14.0,15.0,16.0,16.0,11.0,5.0,5.0,22.0,7.0,7.0
208,18,290.0,5.0,280.0,266.0,480.0,2932.0,13.0,22.0,5.6,493.0,2158.0,12.0,4.4,105.0,29.6,25.8,1.4,387.0,5.1,15.0,293.0,345.0,3947.0,26.0,13.0,6.3,421.0,1412.0,9.0,3.4,68.0,35.4,28.0,1.79,29.0,25.0,27.0,29.0,31.0,32.0,28.0,26.0,5.0,6.0,18.0,10.0,25.0,26.0,29.0,19.0,11.0,31.0,9.0,22.0,19.0,22.0,18.0,9.0,3.0,6.0,1.0,14.0,14.0,17.0
209,19,317.0,5.0,278.0,357.0,594.0,3567.0,24.0,19.0,5.5,349.0,1440.0,8.0,4.1,61.0,29.9,25.6,1.56,335.0,5.2,24.0,327.0,344.0,3752.0,17.0,18.0,6.0,484.0,1998.0,14.0,4.1,114.0,33.5,29.6,1.64,26.0,27.0,29.0,10.0,20.0,15.0,20.0,28.0,29.0,26.0,27.0,17.0,24.0,27.0,22.0,8.0,21.0,19.0,17.0,16.0,3.0,10.0,12.0,31.0,24.0,18.0,18.0,17.0,19.0,11.0
210,20,414.0,5.9,359.0,446.0,651.0,4918.0,39.0,12.0,7.1,391.0,1473.0,10.0,3.8,87.0,40.3,35.3,2.29,304.0,5.2,19.0,274.0,304.0,3105.0,20.0,12.0,5.6,387.0,1786.0,11.0,4.6,82.0,30.4,27.0,1.6,10.0,4.0,4.0,4.0,2.0,2.0,10.0,4.0,26.0,25.0,23.0,26.0,6.0,3.0,3.0,4.0,4.0,29.0,1.0,2.0,6.0,24.0,7.0,6.0,19.0,11.0,28.0,25.0,11.0,9.0
211,21,417.0,6.0,351.0,366.0,570.0,4268.0,25.0,16.0,6.9,459.0,2136.0,17.0,4.7,119.0,40.9,34.5,2.15,428.0,5.9,22.0,330.0,332.0,3956.0,30.0,11.0,6.8,432.0,2000.0,16.0,4.6,116.0,38.9,33.1,2.19,8.0,3.0,6.0,18.0,6.0,13.0,17.0,7.0,12.0,7.0,5.0,4.0,3.0,4.0,6.0,24.0,25.0,21.0,23.0,24.0,27.0,26.0,25.0,12.0,25.0,25.0,29.0,5.0,28.0,28.0
212,22,308.0,5.0,301.0,379.0,681.0,4040.0,26.0,20.0,5.5,348.0,1383.0,4.0,4.0,77.0,26.2,27.8,1.4,406.0,4.8,21.0,328.0,363.0,3538.0,29.0,14.0,5.5,462.0,1781.0,13.0,3.9,103.0,34.0,26.1,1.85,27.0,18.0,22.0,1.0,11.0,11.0,24.0,27.0,30.0,27.0,32.0,23.0,29.0,19.0,28.0,23.0,9.0,24.0,20.0,8.0,21.0,20.0,4.0,27.0,18.0,17.0,8.0,16.0,6.0,20.0
213,23,430.0,5.2,323.0,333.0,546.0,3340.0,24.0,8.0,5.7,442.0,2056.0,17.0,4.7,110.0,32.0,27.3,1.79,305.0,5.5,36.0,303.0,334.0,3962.0,25.0,21.0,6.2,428.0,1923.0,9.0,4.5,88.0,27.5,28.8,1.49,6.0,21.0,14.0,20.0,24.0,15.0,1.0,24.0,15.0,10.0,5.0,5.0,20.0,24.0,19.0,5.0,24.0,2.0,10.0,25.0,14.0,3.0,14.0,11.0,22.0,6.0,26.0,29.0,18.0,5.0
214,24,430.0,5.4,330.0,364.0,587.0,4136.0,33.0,20.0,6.7,481.0,1755.0,14.0,3.6,101.0,32.3,29.2,1.91,305.0,4.7,31.0,282.0,362.0,3344.0,22.0,20.0,5.1,385.0,1544.0,6.0,4.0,72.0,27.4,24.8,1.39,6.0,10.0,9.0,12.0,8.0,3.0,24.0,9.0,8.0,18.0,13.0,28.0,18.0,14.0,13.0,5.0,3.0,3.0,3.0,5.0,11.0,5.0,2.0,5.0,5.0,4.0,15.0,30.0,3.0,3.0
215,25,396.0,5.9,373.0,378.0,544.0,4328.0,32.0,11.0,7.5,486.0,1965.0,9.0,4.0,104.0,44.9,37.7,2.33,348.0,6.1,17.0,327.0,364.0,4139.0,23.0,11.0,7.1,376.0,1725.0,14.0,4.6,98.0,36.1,35.2,1.98,12.0,5.0,3.0,22.0,4.0,5.0,7.0,2.0,6.0,13.0,25.0,21.0,2.0,1.0,2.0,11.0,23.0,30.0,17.0,29.0,12.0,26.0,31.0,3.0,12.0,18.0,27.0,10.0,31.0,23.0
216,26,442.0,6.3,355.0,310.0,508.0,4110.0,32.0,9.0,7.4,500.0,2566.0,19.0,5.1,133.0,36.8,33.1,2.12,382.0,5.5,31.0,368.0,408.0,4636.0,25.0,19.0,6.6,443.0,1668.0,12.0,3.8,100.0,32.7,31.8,1.73,4.0,2.0,5.0,27.0,9.0,5.0,3.0,3.0,4.0,1.0,2.0,1.0,11.0,6.0,8.0,17.0,29.0,3.0,30.0,32.0,14.0,8.0,22.0,19.0,10.0,15.0,4.0,18.0,26.0,14.0
217,27,379.0,5.3,329.0,363.0,574.0,4002.0,24.0,22.0,6.5,422.0,1540.0,12.0,3.6,84.0,33.0,27.7,1.71,324.0,4.9,30.0,309.0,367.0,3728.0,29.0,20.0,5.5,370.0,1351.0,5.0,3.7,68.0,28.9,24.9,1.53,16.0,12.0,11.0,17.0,13.0,15.0,28.0,11.0,20.0,23.0,18.0,27.0,17.0,20.0,20.0,7.0,6.0,6.0,13.0,14.0,21.0,5.0,6.0,2.0,1.0,3.0,2.0,27.0,4.0,6.0
218,28,366.0,5.1,319.0,292.0,473.0,3043.0,24.0,13.0,5.9,483.0,2026.0,14.0,4.2,122.0,36.5,29.8,1.99,241.0,4.9,30.0,278.0,375.0,3429.0,17.0,20.0,5.5,352.0,1391.0,4.0,4.0,70.0,28.7,26.9,1.33,18.0,26.0,15.0,30.0,29.0,15.0,13.0,20.0,7.0,11.0,13.0,16.0,12.0,10.0,10.0,2.0,2.0,6.0,2.0,6.0,3.0,5.0,5.0,1.0,2.0,1.0,12.0,28.0,10.0,2.0
219,29,444.0,5.4,378.0,380.0,628.0,4087.0,25.0,11.0,6.1,470.0,2065.0,19.0,4.4,110.0,40.8,30.6,2.1,338.0,5.3,29.0,338.0,336.0,3824.0,25.0,17.0,6.0,481.0,2145.0,11.0,4.5,110.0,29.6,30.3,1.62,3.0,7.0,2.0,7.0,10.0,13.0,7.0,15.0,9.0,9.0,2.0,9.0,4.0,9.0,9.0,10.0,26.0,10.0,26.0,18.0,14.0,12.0,11.0,29.0,30.0,11.0,24.0,26.0,22.0,10.0
220,30,406.0,5.4,286.0,244.0,417.0,2979.0,21.0,8.0,6.5,505.0,2201.0,18.0,4.4,115.0,37.8,27.5,1.96,272.0,5.0,30.0,284.0,345.0,3536.0,19.0,18.0,5.7,397.0,1535.0,11.0,3.9,77.0,26.2,26.5,1.41,11.0,24.0,25.0,32.0,30.0,23.0,1.0,10.0,3.0,3.0,4.0,11.0,10.0,22.0,12.0,3.0,5.0,6.0,6.0,7.0,5.0,10.0,9.0,7.0,4.0,11.0,9.0,31.0,8.0,4.0
221,31,606.0,6.3,435.0,461.0,675.0,5444.0,55.0,10.0,7.8,461.0,1873.0,16.0,4.1,107.0,47.5,36.2,2.83,399.0,5.3,26.0,339.0,357.0,4070.0,29.0,17.0,6.2,420.0,1626.0,15.0,3.9,90.0,32.5,27.5,1.83,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,11.0,15.0,7.0,20.0,1.0,2.0,1.0,22.0,19.0,16.0,27.0,27.0,21.0,12.0,17.0,8.0,7.0,23.0,10.0,19.0,12.0,18.0
